UserID,Ciudad,FechaHora,Temperatura_C,Condicion_Clima,Humedad_Porcentaje,Viento_kmh
a585bfdb-b48e-42bc-8b57-20f6d6cbe41a,moscu,2026-05-25 14:43:13,17,Patchy rain nearby,52,17
a585bfdb-b48e-42bc-8b57-20f6d6cbe41a,moscu,2026-05-25 14:43:42,17,Patchy rain nearby,52,17
a585bfdb-b48e-42bc-8b57-20f6d6cbe41a,buenos aires,2026-05-25 14:44:02,15,Cloudy ,82,4
a585bfdb-b48e-42bc-8b57-20f6d6cbe41a,buenos aires,2026-05-25 14:52:13,15,Cloudy ,82,4
a585bfdb-b48e-42bc-8b57-20f6d6cbe41a,moscu,2026-05-25 14:58:55,17,Patchy rain nearby,52,17
ef1dc160-212e-4644-8420-ac4b6bc86e41,buenos aires,2026-05-25 15:20:10,15,Cloudy ,82,4
ef1dc160-212e-4644-8420-ac4b6bc86e41,moscu,2026-05-25 15:20:29,15,Patchy rain nearby,55,18
ef1dc160-212e-4644-8420-ac4b6bc86e41,buenos aires,2026-05-25 15:21:12,15,Cloudy ,82,4
66ff4c09-1b6b-4dfc-b243-f3554cb7ebef,buenos aires,2026-05-28 16:03:59,14,Overcast,82,13
a585bfdb-b48e-42bc-8b57-20f6d6cbe41a,londres,2026-05-28 16:20:12,30,Sunny,40,13
a585bfdb-b48e-42bc-8b57-20f6d6cbe41a,paris,2026-05-28 16:20:18,30,Sunny,43,10
a585bfdb-b48e-42bc-8b57-20f6d6cbe41a,lima,2026-05-28 16:20:27,22,Partly Cloudy ,72,14
a585bfdb-b48e-42bc-8b57-20f6d6cbe41a,estonia,2026-05-28 16:20:58,12,Partly cloudy,58,15
a585bfdb-b48e-42bc-8b57-20f6d6cbe41a,buenos aires,2026-05-28 16:30:04,14,Overcast,82,13
